#Parameters = {L=100; Lstep=100; Lt=13.5; Nmesh1=25; Nmesh2=10; aper=50; bunch=15; h=56; r=76; r1=41.5; rt=78; spec=10; th=4; x_beam=5; x_test=-5; y_beam=0; y_test=0}
#"Frequency / GHz"	"X (x_beam=5) [Re / Ohm]"	"X (x_beam=5) [Im / Ohm]"
#---------------------------------------------------------------------
0.70991402639289	-0.062682465447244	-17.078881299010
0.71674012280051	-0.066120968813711	-17.153274539102
0.72356621920813	-0.078494818697882	-17.223249725486
0.73039231561576	-0.094182785917170	-17.284515461363
0.73721841202338	-0.10615865051364	-17.337558497554
0.74404450843101	-0.10950468843970	-17.387352795872
0.75087060483863	-0.10383771239160	-17.440818471188
0.75769670124625	-0.093435373105458	-17.503322059092
0.76452279765388	-0.085012418766704	-17.575983782270
0.77134889406150	-0.084277808707941	-17.655142956674
0.77817499046912	-0.093011345713345	-17.734241590992
0.78500108687675	-0.10813027290680	-17.807169054935
0.79182718328437	-0.12321004740744	-17.871378997518
0.79865327969200	-0.13168706619238	-17.929209403508
0.80547937609962	-0.13012639346689	-17.986745283249
0.81230547250724	-0.11990827318820	-18.050802483316
