#Parameters = {wakelength=10000; H_cav=30; H_pipe=12; L_cav=20; L_pipe=76; W_cav=30; W_pipe=12; beta=1; cellsperw=20; conductivity=10000000; q=1e-09; sigmaz=5}
#"s / cm"	"Z (conductivity=1e+07) [Real Part]"
#---------------------------------------------
-34.428977433565	2.2805080651426e-10
-34.323716322954	2.6026581957233e-10
-34.218455212343	2.9690189401926e-10
-34.113194101732	3.3854462436080e-10
-34.007932991121	3.8585822282588e-10
-33.902671880511	4.3958834526116e-10
-33.797410769900	5.0057660805112e-10
-33.692149659289	5.6977038823285e-10
-33.586888548678	6.4823663001504e-10
-33.481627438067	7.3717734614101e-10
-33.376366327456	8.3794486752667e-10
-33.271105216845	9.5205850340194e-10
-33.165844106234	1.0812256781326e-09
-33.060582995623	1.2273658576505e-09
-32.955321885012	1.3926296910844e-09
-32.850060774401	1.5794343583001e-09
-32.744799663790	1.7904861062837e-09
-32.639538553179	2.0288200473414e-09
-32.534277442569	2.2978344347370e-09
-32.429016331958	2.6013355175734e-09
-32.323755221347	2.9435804016699e-09
-32.218494110736	3.3293334571914e-09
-32.113233000125	3.7639166475022e-09
-32.007971889514	4.2532786953270e-09
-31.902710778903	4.8040607471540e-09
-31.797449668292	5.4236753118495e-09
-31.692188557681	6.1203920744925e-09
-31.586927447070	6.9034288952706e-09
-31.481666336459	7.7830573068616e-09
-31.376405225848	8.7707181506028e-09
-31.271144115237	9.8791419823914e-09
-31.165883004626	1.1122493147573e-08
-31.060621894016	1.2516519443463e-08
-30.955360783405	1.4078722417109e-08
-30.850099672794	1.5828538997684e-08
-30.744838562183	1.7787543515119e-08
-30.639577451572	1.9979675847157e-08
-30.534316340961	2.2431477363625e-08
-30.429055230350	2.5172365025116e-08
-30.323794119739	2.8234920146365e-08
-30.218533009128	3.1655208191875e-08
-30.113271898517	3.5473133960571e-08
-30.008010787906	3.9732821473050e-08
-29.902749677295	4.4483033223129e-08
-29.797488566684	4.9777630598617e-08
-29.692227456073	5.5676067898880e-08
-29.586966345463	6.2243939901704e-08
-29.481705234852	6.9553573548453e-08
-29.376444124241	7.7684675965277e-08
-29.271183013630	8.6725033140767e-08
-29.165921903019	9.6771275502177e-08
-29.060660792408	1.0792970599216e-07
-28.955399681797	1.2031720408674e-07
-28.850138571186	1.3406220065614e-07
-28.744877460575	1.4930573603456e-07
-28.639616349964	1.6620260553819e-07
-28.534355239353	1.8492260150718e-07
-28.429094128742	2.0565185414093e-07
-28.323833018131	2.2859429054042e-07
-28.218571907521	2.5397319610394e-07
-28.113310796910	2.8203290525196e-07
-28.008049686299	3.1304062756786e-07
-27.902788575688	3.4728840394805e-07
-27.797527465077	3.8509523506933e-07
-27.692266354466	4.2680934017599e-07
-27.587005243855	4.7281059827497e-07
-27.481744133244	5.2351317902547e-07
-27.376483022633	5.7936835359470e-07
-27.271221912022	6.4086749812112e-07
-27.165960801411	7.0854533796191e-07
-27.060699690800	7.8298337663283e-07
-26.955438580189	8.6481361579292e-07
-26.850177469578	9.5472248787377e-07
-26.744916358968	1.0534550577781e-06
-26.639655248357	1.1618194992551e-06
-26.534394137746	1.2806918664013e-06
-26.429133027135	1.4110211539582e-06
-26.323871916524	1.5538347246544e-06
-26.218610805913	1.7102440213443e-06
-26.113349695302	1.8814506636932e-06
-26.008088584691	2.0687528061286e-06
-25.902827474080	2.2735519678483e-06
-25.797566363469	2.4973601950144e-06
-25.692305252858	2.7418076748219e-06
-25.587044142247	3.0086507416108e-06
-25.481783031636	3.2997802683826e-06
-25.376521921026	3.6172304914803e-06
-25.271260810415	3.9631883214380e-06
-25.165999699804	4.3400030716703e-06
-25.060738589193	4.7501968119356e-06
-24.955477478582	5.1964749857420e-06
-24.850216367971	5.6817375162174e-06
-24.744955257360	6.2090902537959e-06
-24.639694146749	6.7818571438685e-06
-24.534433036138	7.4035928142085e-06
-24.429171925527	8.0780956502788e-06
-24.323910814916	8.8094211222089e-06
-24.218649704305	9.6018956138516e-06
-24.113388593694	1.0460130877671e-05
-24.008127483083	1.1389038791904e-05
-23.902866372473	1.2393846893045e-05
-23.797605261862	1.3480113666941e-05
-23.692344151251	1.4653743797684e-05
-23.587083040640	1.5921005163097e-05
-23.481821930029	1.7288544637007e-05
-23.376560819418	1.8763404132314e-05
-23.271299708807	2.0353037609288e-05
-23.166038598196	2.2065327737530e-05
-23.060777487585	2.3908602826586e-05
-22.955516376974	2.5891653254266e-05
-22.850255266363	2.8023747511238e-05
-22.744994155752	3.0314647875297e-05
-22.639733045141	3.2774626402041e-05
-22.534471934530	3.5414480406783e-05
-22.429210823920	3.8245546471750e-05
-22.323949713309	4.1279713135567e-05
-22.218688602698	4.4529433699914e-05
-22.113427492087	4.8007738428856e-05
-22.008166381476	5.1728244669581e-05
-21.902905270865	5.5705163262287e-05
-21.797644160254	5.9953306433568e-05
-21.692383049643	6.4488091245844e-05
-21.587121939032	6.9325544275326e-05
-21.481860828421	7.4482300131407e-05
-21.376599717810	7.9975600431220e-05
-21.271338607199	8.5823288118527e-05
-21.166077496588	9.2043792945465e-05
-21.060816385978	9.8656125005093e-05
-20.955555275367	0.00010567984878362
-20.850294164756	0.00011313506468705
-20.745033054145	0.00012104238674012
-20.639771943534	0.00012942290288247
-20.534510832923	0.00013829814522483
-20.429249722312	0.00014769005034486
-20.323988611701	0.00015762090502057
-20.218727501090	0.00016811329069537
-20.113466390479	0.00017919002263083
-20.008205279868	0.00019087405922644
-19.902944169257	0.00020318843567395
-19.797683058646	0.00021615617129867
-19.692421948035	0.00022980016903533
-19.587160837425	0.00024414312011958
-19.481899726814	0.00025920738529741
-19.376638616203	0.00027501485135188
-19.271377505592	0.00029158680859037
-19.166116394981	0.00030894378789202
-19.060855284370	0.00032710539986875
-18.955594173759	0.00034609013817174
-18.850333063148	0.00036591520118675
-18.745071952537	0.00038659629151936
-18.639810841926	0.00040814738604327
-18.534549731315	0.00043058050819060
-18.429288620704	0.00045390548548717
-18.324027510093	0.00047812966249223
-18.218766399482	0.00050325764727007
-18.113505288872	0.00052929099114088
-18.008244178261	0.00055622790145059
-17.902983067650	0.00058406287899787
-17.797721957039	0.00061278636983907
-17.692460846428	0.00064238445752630
-17.587199735817	0.00067283844407470
-17.481938625206	0.00070412446157168
-17.376677514595	0.00073621300618014
-17.271416403984	0.00076906847319857
-17.166155293373	0.00080264890806212
-17.060894182762	0.00083690539921371
-16.955633072151	0.00087178159441758
-16.850371961540	0.00090721312963162
-16.745110850930	0.00094312725848883
-16.639849740319	0.00097944224771738
-16.534588629708	0.0010160669867563
-16.429327519097	0.0010529003155036
-16.324066408486	0.0010898304695685
-16.218805297875	0.0011267345580260
-16.113544187264	0.0011634778579734
-16.008283076653	0.0011999131344904
-15.903021966042	0.0012358804518054
-15.797760855431	0.0012712062613485
-15.692499744820	0.0013057028693175
-15.587238634209	0.0013391679612126
-15.481977523598	0.0013713836487512
-15.376716412987	0.0014021162663796
-15.271455302377	0.0014311155808360
-15.166194191766	0.0014581144050004
-15.060933081155	0.0014828280334686
-14.955671970544	0.0015049538136174
-14.850410859933	0.0015241702891723
-14.745149749322	0.0015401368791857
-14.639888638711	0.0015524929782559
-14.534627528100	0.0015608578096445
-14.429366417489	0.0015648297902818
-14.324105306878	0.0015639866887469
-14.218844196267	0.0015578844115009
-14.113583085656	0.0015460575889920
-14.008321975045	0.0015280186376220
-13.903060864434	0.0015032586083583
-13.797799753824	0.0014712463854015
-13.692538643213	0.0014314283068053
-13.587277532602	0.0013832284723380
-13.482016421991	0.0013260482193059
-13.376755311380	0.0012592669639567
-13.271494200769	0.0011822416000483
-13.166233090158	0.0010943078961809
-13.060971979547	0.00099477944248247
-12.955710868936	0.00088294814135822
-12.850449758325	0.00075808587284659
-12.745188647714	0.00061944383649139
-12.639927537103	0.00046625363644530
-12.534666426492	0.00029772844161644
-12.429405315882	0.00011306320201999
-12.324144205271	-8.8563424265535e-05
-12.218883094660	-0.00030798906398197
-12.113621984049	-0.00054606800551235
-12.008360873438	-0.00080366729464338
-11.903099762827	-0.0010816654626346
-11.797838652216	-0.0013809532506493
-11.692577541605	-0.0017024275289898
-11.587316430994	-0.0020469943830037
-11.482055320383	-0.0024155631842153
-11.376794209772	-0.0028090504885963
-11.271533099161	-0.0032283734812734
-11.166271988550	-0.0036744483633125
-11.061010877939	-0.0041481875469454
-10.955749767329	-0.0046505006064580
-10.850488656718	-0.0051822915255969
-10.745227546107	-0.0057444572017580
-10.639966435496	-0.0063378820275002
-10.534705324885	-0.0069634362669698
-10.429444214274	-0.0076219726105462
-10.324183103663	-0.0083143222241137
-10.218921993052	-0.0090412957775665
-10.113660882441	-0.0098036758785698
-10.008399771830	-0.010602211220392
-9.9031386612193	-0.011437621508379
-9.7978775506083	-0.012310593477655
-9.6926164399974	-0.013221779971932
-9.5873553293865	-0.014171797526525
-9.4820942187756	-0.015161216373780
-9.3768331081646	-0.016190563742533
-9.2715719975537	-0.017260320345712
-9.1663108869428	-0.018370916543050
-9.0610497763319	-0.019522725630334
-8.9557886657209	-0.020716058241245
-8.8505275551100	-0.021951165268184
-8.7452664444991	-0.023228237298725
-8.6400053338882	-0.024547400601113
-8.5347442232772	-0.025908713294196
-8.4294831126663	-0.027312154758798
-8.3242220020554	-0.028757635779397
-8.2189608914444	-0.030244998535329
-8.1136997808335	-0.031774005399757
-8.0084386702226	-0.033344340792739
-7.9031775596117	-0.034955616410687
-7.7979164490007	-0.036607362809993
-7.6926553383898	-0.038299028211821
-7.5873942277789	-0.040029987027953
-7.4821331171680	-0.041799524240387
-7.3768720065570	-0.043606850952092
-7.2716108959461	-0.045451095808014
-7.1663497853352	-0.047331297033839
-7.0610886747243	-0.049246401237052
-6.9558275641133	-0.051195264254447
-6.8505664535024	-0.053176642376714
-6.7453053428915	-0.055189217719544
-6.6400442322805	-0.057231597543963
-6.5347831216696	-0.059302303615001
-6.4295220110587	-0.061399800229463
-6.3242609004478	-0.063522476086161
-6.2189997898368	-0.065668637894017
-6.1137386792259	-0.067836523756309
-6.0084775686150	-0.070024290554056
-5.9032164580041	-0.072230019579938
-5.7979553473931	-0.074451744561035
-5.6926942367822	-0.076687436342600
-5.5874331261713	-0.078935005193892
-5.4821720155604	-0.081192319558712
-5.3769109049494	-0.083457190725031
-5.2716497943385	-0.085727385378684
-5.1663886837276	-0.088000635893467
-5.0611275731166	-0.090274616495749
-4.9558664625057	-0.092546996114388
-4.8506053518948	-0.094815406409398
-4.7453442412839	-0.097077458219176
-4.6400831306729	-0.099330756213470
-4.5348220200620	-0.10157287032923
-4.4295609094511	-0.10380138236752
-4.3242997988402	-0.10601384534658
-4.2190386882292	-0.10820781791466
-4.1137775776183	-0.11038087045169
-4.0085164670074	-0.11253058087743
-3.9032553563965	-0.11465456496134
-3.7979942457855	-0.11675046757382
-3.6927331351746	-0.11881595648848
-3.5874720245637	-0.12084873035869
-3.4822109139527	-0.12284651167282
-3.3769498033418	-0.12480708372335
-3.2716886927309	-0.12672827828976
-3.1664275821200	-0.12860796053723
-3.0611664715090	-0.13044405289523
-2.9559053608981	-0.13223452353099
-2.8506442502872	-0.13397743215256
-2.7453831396763	-0.13567092125591
-2.6401220290653	-0.13731318397644
-2.5348609184544	-0.13890246408361
-2.4295998078435	-0.14043710521376
-2.3243386972326	-0.14191552970439
-2.2190775866216	-0.14333627876917
-2.1138164760107	-0.14469793715669
-2.0085553653998	-0.14599917165137
-1.9032942547888	-0.14723874824657
-1.7980331441779	-0.14841552222077
-1.6927720335670	-0.14952842639060
-1.5875109229561	-0.15057646553476
-1.4822498123451	-0.15155873030011
-1.3769887017342	-0.15247442491846
