#Parameters = {H_cav=50; H_pipe=15; L_cav=30; L_pipe=120; W_cav=50; W_pipe=15; beta=1; cellsperw=10; conductivity=10; q=1e-09; sigmaz=18.5}
#"s / mm"	"Z [Real Part]"
#------------------------
-140.09040754372	1.1004232594792e-13
-139.73619908113	1.4581978943361e-13
-139.38199061854	1.7917321053193e-13
-139.02778215595	1.6886607426625e-13
-138.67357369336	1.4693205627938e-13
-138.31936523077	1.4304567669651e-13
-137.96515676818	1.6985792850609e-13
-137.61094830559	2.3540222274831e-13
-137.25673984300	2.9449401523576e-13
-136.90253138041	3.5401871342247e-13
-136.54832291783	3.7688843784083e-13
-136.19411445524	3.7988484744214e-13
-135.83990599265	3.8822992503803e-13
-135.48569753006	4.1814566136429e-13
-135.13148906747	4.8241794041969e-13
-134.77728060488	5.5813721269145e-13
-134.42307214229	6.2863314056962e-13
-134.06886367970	6.7653989676104e-13
-133.71465521711	7.2517447077361e-13
-133.36044675452	7.6628069150941e-13
-133.00623829193	8.1320300780214e-13
-132.65202982934	8.7090674247590e-13
-132.29782136675	9.2817891445872e-13
-131.94361290417	9.9897916036812e-13
-131.58940444158	1.0491017483788e-12
-131.23519597899	1.0943099071161e-12
-130.88098751640	1.1146035834509e-12
-130.52677905381	1.1150657211663e-12
-130.17257059122	1.0939646022906e-12
-129.81836212863	1.0544990082735e-12
-129.46415366604	9.9792303121913e-13
-129.10994520345	9.0724466490920e-13
-128.75573674086	7.7127629129930e-13
-128.40152827827	5.6030585721850e-13
-128.04731981568	2.5450108067650e-13
-127.69311135310	-1.6063574109726e-13
-127.33890289051	-6.8956399562917e-13
-126.98469442792	-1.3282199360518e-12
-126.63048596533	-2.1030392879916e-12
-126.27627750274	-3.0608785492024e-12
-125.92206904015	-4.2665557711840e-12
-125.56786057756	-5.7772903129080e-12
-125.21365211497	-7.6366221701342e-12
-124.85944365238	-9.8693610527082e-12
-124.50523518979	-1.2540457809004e-11
-124.15102672720	-1.5722065381047e-11
-123.79681826461	-1.9521892015427e-11
-123.44260980203	-2.4063710998890e-11
-123.08840133944	-2.9476072899648e-11
-122.73419287685	-3.5897886718212e-11
-122.37998441426	-4.3494890164160e-11
-122.02577595167	-5.2444812269212e-11
-121.67156748908	-6.2954046017547e-11
-121.31735902649	-7.5300595320902e-11
-120.96315056390	-8.9748404927533e-11
-120.60894210131	-1.0665773257082e-10
-120.25473363872	-1.2639806419749e-10
-119.90052517613	-1.4941605659525e-10
-119.54631671354	-1.7621523073823e-10
-119.19210825096	-2.0735784950470e-10
-118.83789978837	-2.4350582054975e-10
-118.48369132578	-2.8538244458562e-10
-118.12948286319	-3.3384469841331e-10
-117.77527440060	-3.8986340111725e-10
-117.42106593801	-4.5455855332829e-10
-117.06685747542	-5.2920119323304e-10
-116.71264901283	-6.1522232252709e-10
-116.35844055024	-7.1420728095098e-10
-116.00423208765	-8.2798368595991e-10
-115.65002362506	-9.5865586097295e-10
-115.29581516247	-1.1085992212067e-09
-114.94160669989	-1.2805222199658e-09
-114.58739823730	-1.4774616610966e-09
-114.23318977471	-1.7028388135090e-09
-113.87898131212	-1.9605209741956e-09
-113.52477284953	-2.2548672589113e-09
-113.17056438694	-2.5908358779341e-09
-112.81635592435	-2.9740152180006e-09
-112.46214746176	-3.4107155700347e-09
-112.10793899917	-3.9080371077257e-09
-111.75373053658	-4.4739466014677e-09
-111.39952207399	-5.1174076086086e-09
-111.04531361140	-5.8485097738083e-09
-110.69110514881	-6.6785838022427e-09
-110.33689668623	-7.6203844997448e-09
-109.98268822364	-8.6881964377981e-09
-109.62847976105	-9.8980574168265e-09
-109.27427129846	-1.1267972348375e-08
-108.92006283587	-1.2818062024246e-08
-108.56585437328	-1.4570894515852e-08
-108.21164591069	-1.6551692442311e-08
-107.85743744810	-1.8788639016847e-08
-107.50322898551	-2.1313273138223e-08
-107.14902052292	-2.4160835542302e-08
-106.79481206033	-2.7370673520006e-08
-106.44060359774	-3.0986711058599e-08
-106.08639513516	-3.5057906607301e-08
-105.73218667257	-3.9638804445128e-08
-105.37797820998	-4.4790179570392e-08
-105.02376974739	-5.0579658923030e-08
-104.66956128480	-5.7082518304265e-08
-104.31535282221	-6.4382474030737e-08
-103.96114435962	-7.2572668136847e-08
-103.60693589703	-8.1756517325435e-08
-103.25272743444	-9.2048868257714e-08
-102.89851897185	-1.0357711218887e-07
-102.54431050926	-1.1648249902303e-07
-102.19010204667	-1.3092168278568e-07
-101.83589358409	-1.4706815928119e-07
-101.48168512150	-1.6511418091314e-07
-101.12747665891	-1.8527246332704e-07
-100.77326819632	-2.0777839374284e-07
-100.41905973373	-2.3289224159138e-07
-100.06485127114	-2.6090144021368e-07
-99.710642808550	-2.9212355872781e-07
-99.356434345961	-3.2690915300357e-07
-99.002225883372	-3.6564502976656e-07
-98.648017420783	-4.0875791018898e-07
-98.293808958194	-4.5671785500058e-07
-97.939600495605	-5.1004281360581e-07
-97.585392033015	-5.6930323799177e-07
-97.231183570426	-6.3512680460311e-07
-96.876975107837	-7.0820402382574e-07
-96.522766645248	-7.8929381885993e-07
-96.168558182659	-8.7923037387183e-07
-95.814349720069	-9.7892989738932e-07
-95.460141257480	-1.0893986806189e-06
-95.105932794891	-1.2117405273972e-06
-94.751724332302	-1.3471655221707e-06
-94.397515869713	-1.4969999584797e-06
-94.043307407124	-1.6626967961092e-06
-93.689098944534	-1.8458476870522e-06
-93.334890481945	-2.0481947460651e-06
-92.980682019356	-2.2716438905490e-06
-92.626473556767	-2.5182781256330e-06
-92.272265094178	-2.7903753334947e-06
-91.918056631588	-3.0904217883534e-06
-91.563848168999	-3.4211317693132e-06
-91.209639706410	-3.7854676609441e-06
-90.855431243821	-4.1866620138752e-06
-90.501222781232	-4.6282378383780e-06
-90.147014318643	-5.1140353254086e-06
-89.792805856053	-5.6482342305410e-06
-89.438597393464	-6.2353844341292e-06
-89.084388930875	-6.8804371810422e-06
-88.730180468286	-7.5887746119961e-06
-88.375972005697	-8.3662505737308e-06
-88.021763543107	-9.2192258796925e-06
-87.667555080518	-1.0154599718760e-05
-87.313346617929	-1.1179865856483e-05
-86.959138155340	-1.2303147622994e-05
-86.604929692751	-1.3533260926530e-05
-86.250721230162	-1.4879761131295e-05
-85.896512767572	-1.6352989016695e-05
-85.542304304983	-1.7964141627816e-05
