#Parameters = {beta=0.8; bunch=4.8; conductivity=10000; l=20; l_pipe=40; nmesh=50; r=10; r_pipe=2; samples=2000; wakelength=400; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"Frequency / GHz"	"Z (beta=0.8) [Real/Imaginary Part] [Re]"	"Z (beta=0.8) [Real/Imaginary Part] [Im]"
#-----------------------------------------------------------------------------------------------------
0.089637334017072	-2.3692164689535	-90.812762601497
0.090491022912473	-2.6512918048623	-91.317811384180
0.091344711807874	-2.8939373717198	-91.792905215005
0.092198400703274	-3.0940303919411	-92.242651128910
0.093052089598675	-3.2489840239825	-92.671978629420
0.093905778494076	-3.3567802910703	-93.086077606889
0.094759467389476	-3.4159958467334	-93.490332939387
0.095613156284877	-3.4258202485589	-93.890256599683
0.096466845180278	-3.3860665058796	-94.291418123617
0.097320534075678	-3.2971737642878	-94.699374316144
0.098174222971079	-3.1602020891744	-95.119599081589
0.099027911866480	-2.9768194099887	-95.557414263394
0.099881600761881	-2.7492807857048	-96.017922366336
0.10073528965728	-2.4804002491991	-96.505942011114
0.10158897855268	-2.1735155816502	-97.025946936932
0.10244266744808	-1.8324464575630	-97.582009323624
