#Parameters = {beta=1; bunch=6; conductivity=10000; l=20; l_pipe=40; nmesh=50; r=10; r_pipe=2; samples=2000; wakelength=400; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / cm"	"Z [Real Part]"
#------------------------
-43.771397849796	-6.3935441019251e-13
-43.720226908596	-6.8017364070841e-13
-43.669055967396	-7.2354355747542e-13
-43.617885026196	-7.6962049303358e-13
-43.566714084996	-8.1857008349054e-13
-43.515543143796	-8.7056800851076e-13
-43.464372202596	-9.2580061085805e-13
-43.413201261396	-9.8446528665543e-13
-43.362030320196	-1.0467712497855e-12
-43.310859378996	-1.1129402265228e-12
-43.259688437796	-1.1832070658647e-12
-43.208517496596	-1.2578206474042e-12
-43.157346555396	-1.3370442874453e-12
-43.106175614196	-1.4211568010311e-12
-43.055004672996	-1.5104537404570e-12
-43.003833731796	-1.6052478697000e-12
-42.952662790596	-1.7058702126088e-12
-42.901491849396	-1.8126711254687e-12
-42.850320908196	-1.9260215838445e-12
-42.799149966996	-2.0463143415152e-12
-42.747979025796	-2.1739652551868e-12
-42.696808084596	-2.3094145919614e-12
-42.645637143396	-2.4531284298000e-12
-42.594466202196	-2.6056000398123e-12
-42.543295260996	-2.7673512308610e-12
-42.492124319796	-2.9389347060952e-12
-42.440953378596	-3.1209353980519e-12
-42.389782437396	-3.3139720735673e-12
-42.338611496196	-3.5186995975646e-12
-42.287440554996	-3.7358101386775e-12
-42.236269613796	-3.9660362498142e-12
-42.185098672596	-4.2101531650133e-12
-42.133927731396	-4.4689809532614e-12
-42.082756790196	-4.7433860480591e-12
-42.031585848996	-5.0342845698297e-12
-41.980414907796	-5.3426463443068e-12
-41.929243966596	-5.6694968214557e-12
-41.878073025396	-6.0159191958305e-12
-41.826902084196	-6.3830594921691e-12
-41.775731142996	-6.7721288535280e-12
-41.724560201796	-7.1844066564503e-12
-41.673389260596	-7.6212469641128e-12
-41.622218319396	-8.0840776838551e-12
-41.571047378196	-8.5744099895701e-12
-41.519876436996	-9.0938396962394e-12
-41.468705495796	-9.6440533441814e-12
