#Parameters = {beta=0.6; bunch=3.6; conductivity=10000; l=20; l_pipe=40; nmesh=50; r=10; r_pipe=2; samples=2000; wakelength=400; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / cm"	"Z [Real Part]"
#------------------------
-31.414579789626	1.2952825562176e-10
-31.383877224906	1.3499940242446e-10
-31.353174660186	1.4069818807060e-10
-31.322472095466	1.4663376430133e-10
-31.291769530746	1.5281564726909e-10
-31.261066966026	1.5925364976165e-10
-31.230364401306	1.6595819099386e-10
-31.199661836586	1.7294003785330e-10
-31.168959271866	1.8021044765760e-10
-31.138256707146	1.8778108823456e-10
-31.107554142426	1.9566413900661e-10
-31.076851577706	2.0387226911410e-10
-31.046149012986	2.1241869270319e-10
-31.015446448266	2.2131718336398e-10
-30.984743883546	2.3058202167183e-10
-30.954041318826	2.4022815813124e-10
-30.923338754106	2.5027106770526e-10
-30.892636189386	2.6072683596233e-10
-30.861933624666	2.7161214287580e-10
-30.831231059946	2.8294450651937e-10
-30.800528495226	2.9474204017353e-10
-30.769825930506	3.0702352199940e-10
-30.739123365786	3.1980840662043e-10
-30.708420801066	3.3311700726508e-10
-30.677718236346	3.4697029517713e-10
-30.647015671626	3.6139019540718e-10
-30.616313106906	3.7639926130559e-10
-30.585610542186	3.9202108183715e-10
-30.554907977466	4.0828003661356e-10
-30.524205412746	4.2520166827593e-10
-30.493502848026	4.4281235338891e-10
-30.462800283306	4.6113947711227e-10
-30.432097718586	4.8021159314720e-10
-30.401395153866	5.0005828683790e-10
-30.370692589146	5.2071040932387e-10
-30.339990024426	5.4220001969967e-10
-30.309287459706	5.6456043884505e-10
-30.278584894986	5.8782637513834e-10
-30.247882330266	6.1203388087497e-10
-30.217179765546	6.3722046872927e-10
-30.186477200826	6.6342505702828e-10
-30.155774636106	6.9068811709240e-10
-30.125072071386	7.1905165608795e-10
-30.094369506666	7.4855932315631e-10
-30.063666941946	7.7925646882669e-10
-30.032964377226	8.1119013323281e-10
-30.002261812506	8.4440904656371e-10
-29.971559247786	8.7896373101930e-10
